,Pool Name,Pool ID,Predicted APR (%),Performance Class,Risk Score,Type,TVL (M)
12,SOL/RAY,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,23.81785189233877,medium,0.19962769499675823,Liquidity Pool,4.04025721
26,SOL/RAY,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,24.69494066618845,medium,0.19962769499675823,Liquidity Pool,4.04025721
40,SOL/RAY,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,23.683668966700495,medium,0.19962769499675823,Liquidity Pool,4.04025721
23,RAY/USDC,61R1ndXxvsWXXkWSyNkCxnzwd3zUNB8Q2ibmkiLPC8ht,52.43263127877285,high,0.2501769624458321,Liquidity Pool,0.36317478000000003
37,RAY/USDC,61R1ndXxvsWXXkWSyNkCxnzwd3zUNB8Q2ibmkiLPC8ht,53.077885931458574,high,0.2501769624458321,Liquidity Pool,0.36317478000000003
9,RAY/USDC,61R1ndXxvsWXXkWSyNkCxnzwd3zUNB8Q2ibmkiLPC8ht,52.34840253609773,high,0.2501769624458321,Liquidity Pool,0.36317478000000003
10,SOL/USDC,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,49.905808370895365,high,0.2741068383997119,Liquidity Pool,9.60357434
24,SOL/USDC,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,50.53510939582752,high,0.2741068383997119,Liquidity Pool,9.60357434
38,SOL/USDC,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,48.61897743542925,high,0.2741068383997119,Liquidity Pool,9.60357434
41,SOL/USDT,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,24.42713578345756,medium,0.3465074613914272,Liquidity Pool,1.05564573
27,SOL/USDT,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,24.285198705155164,medium,0.3465074613914272,Liquidity Pool,1.05564573
13,SOL/USDT,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,22.33362028010466,medium,0.3465074613914272,Liquidity Pool,1.05564573
11,SOL/USDC,8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,27.72241634191281,medium,0.36276962416139313,Liquidity Pool,4.31386692
25,SOL/USDC,8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,25.74527498908795,medium,0.36276962416139313,Liquidity Pool,4.31386692
39,SOL/USDC,8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,26.622593012684487,medium,0.36276962416139313,Liquidity Pool,4.31386692
17,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,146.92458458379244,medium,0.6221800968698815,Liquidity Pool,3.90695843
3,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,138.90630954167887,medium,0.6221800968698815,Liquidity Pool,3.90695843
31,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,141.48741178767582,medium,0.6221800968698815,Liquidity Pool,3.90695843
32,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,136.33201364048978,medium,0.6506429544273248,Liquidity Pool,1.9588112
18,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,147.3250950603387,medium,0.6506429544273248,Liquidity Pool,1.9588112
4,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,142.0792412445616,medium,0.6506429544273248,Liquidity Pool,1.9588112
15,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,445.39953180532535,medium,0.6936000000000001,Liquidity Pool,0.19216116
29,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,467.2423083321559,medium,0.6936000000000001,Liquidity Pool,0.19216116
1,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,451.09064746927106,medium,0.6936000000000001,Liquidity Pool,0.19216116
7,SOL/SOGENT,3AG2dF4u9dChcg2qmfpxGcE7SQyEUZGfimqjmqxojMgC,94.59211252313193,medium,0.6999666666666666,Liquidity Pool,0.43889653
35,SOL/SOGENT,3AG2dF4u9dChcg2qmfpxGcE7SQyEUZGfimqjmqxojMgC,88.32319067915391,medium,0.6999666666666666,Liquidity Pool,0.43889653
21,SOL/SOGENT,3AG2dF4u9dChcg2qmfpxGcE7SQyEUZGfimqjmqxojMgC,96.38803043670687,medium,0.6999666666666666,Liquidity Pool,0.43889653
36,SOL/SPEC,H5rrKufGsB5vtvxJHEErCuqLM45g8JBv6SLa8ux9x4yj,68.55537267061867,medium,0.7045666666666667,Liquidity Pool,0.6109564300000001
22,SOL/SPEC,H5rrKufGsB5vtvxJHEErCuqLM45g8JBv6SLa8ux9x4yj,74.6846164930111,medium,0.7045666666666667,Liquidity Pool,0.6109564300000001
8,SOL/SPEC,H5rrKufGsB5vtvxJHEErCuqLM45g8JBv6SLa8ux9x4yj,70.91987075680444,medium,0.7045666666666667,Liquidity Pool,0.6109564300000001
5,SOL/LFG,7fYfv8wnG2FgP9agpFSdsvcEggadPmsNN9q5sB129x7V,130.99301161326588,medium,0.7356000000000001,Liquidity Pool,0.43240357
19,SOL/LFG,7fYfv8wnG2FgP9agpFSdsvcEggadPmsNN9q5sB129x7V,126.2461664780169,medium,0.7356000000000001,Liquidity Pool,0.43240357
33,SOL/LFG,7fYfv8wnG2FgP9agpFSdsvcEggadPmsNN9q5sB129x7V,133.21978001074308,medium,0.7356000000000001,Liquidity Pool,0.43240357
2,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,276.20649263846957,medium,0.7606,Liquidity Pool,0.41405464000000003
16,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,263.0347348717544,medium,0.7606,Liquidity Pool,0.41405464000000003
30,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,279.74281831992147,medium,0.7606,Liquidity Pool,0.41405464000000003
6,SOL/SOOMER,AT5uVDVMPKfMcHB3sNgCqGrDRUq5ARgiVx9kwKkabv8F,107.71919329891797,medium,0.8521666666666666,Liquidity Pool,0.4929175
34,SOL/SOOMER,AT5uVDVMPKfMcHB3sNgCqGrDRUq5ARgiVx9kwKkabv8F,112.01636546162855,medium,0.8521666666666666,Liquidity Pool,0.4929175
20,SOL/SOOMER,AT5uVDVMPKfMcHB3sNgCqGrDRUq5ARgiVx9kwKkabv8F,112.9437139442411,medium,0.8521666666666666,Liquidity Pool,0.4929175
0,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,491.0971726230274,medium,0.9333333333333332,Liquidity Pool,0.41282634999999995
28,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,469.9570228888094,medium,0.9333333333333332,Liquidity Pool,0.41282634999999995
14,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,474.33293049987395,medium,0.9333333333333332,Liquidity Pool,0.41282634999999995
